group,name,version,license,optional,installScript,review,lockPath
development,@rollup/rollup-linux-ppc64-gnu,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-ppc64-gnu
development,@rollup/rollup-linux-ppc64-musl,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-ppc64-musl
development,@rollup/rollup-linux-riscv64-gnu,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-riscv64-gnu
development,@rollup/rollup-linux-riscv64-musl,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-riscv64-musl
development,@rollup/rollup-linux-s390x-gnu,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-s390x-gnu
development,@rollup/rollup-linux-x64-gnu,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-x64-gnu
development,@rollup/rollup-linux-x64-musl,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-linux-x64-musl
development,@rollup/rollup-openbsd-x64,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-openbsd-x64
development,@rollup/rollup-openharmony-arm64,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-openharmony-arm64
development,@rollup/rollup-win32-arm64-msvc,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-win32-arm64-msvc
development,@rollup/rollup-win32-ia32-msvc,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-win32-ia32-msvc
development,@rollup/rollup-win32-x64-gnu,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-win32-x64-gnu
development,@rollup/rollup-win32-x64-msvc,4.59.0,MIT,true,false,permissive-or-public-domain,node_modules/@rollup/rollup-win32-x64-msvc
development,@sindresorhus/is,4.6.0,MIT,false,false,permissive-or-public-domain,node_modules/@sindresorhus/is
development,@szmarczak/http-timer,4.0.6,MIT,false,false,permissive-or-public-domain,node_modules/@szmarczak/http-timer
development,@tailwindcss/node,4.2.1,MIT,false,false,permissive-or-public-domain,node_modules/@tailwindcss/node
development,@tailwindcss/oxide,4.2.1,MIT,false,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide
development,@tailwindcss/oxide-android-arm64,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-android-arm64
development,@tailwindcss/oxide-darwin-arm64,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-darwin-arm64
development,@tailwindcss/oxide-darwin-x64,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-darwin-x64
development,@tailwindcss/oxide-freebsd-x64,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-freebsd-x64
development,@tailwindcss/oxide-linux-arm-gnueabihf,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-linux-arm-gnueabihf
development,@tailwindcss/oxide-linux-arm64-gnu,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-linux-arm64-gnu
development,@tailwindcss/oxide-linux-arm64-musl,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-linux-arm64-musl
development,@tailwindcss/oxide-linux-x64-gnu,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-linux-x64-gnu
development,@tailwindcss/oxide-linux-x64-musl,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-linux-x64-musl
development,@tailwindcss/oxide-wasm32-wasi,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-wasm32-wasi
development,@tailwindcss/oxide-win32-arm64-msvc,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-win32-arm64-msvc
development,@tailwindcss/oxide-win32-x64-msvc,4.2.1,MIT,true,false,permissive-or-public-domain,node_modules/@tailwindcss/oxide-win32-x64-msvc
development,@tailwindcss/vite,4.2.1,MIT,false,false,permissive-or-public-domain,node_modules/@tailwindcss/vite
development,@testing-library/dom,10.4.1,MIT,false,false,permissive-or-public-domain,node_modules/@testing-library/dom
development,@testing-library/jest-dom,6.9.1,MIT,false,false,permissive-or-public-domain,node_modules/@testing-library/jest-dom
development,@testing-library/jest-dom/node_modules/dom-accessibility-api,0.6.3,MIT,false,false,permissive-or-public-domain,node_modules/@testing-library/jest-dom/node_modules/dom-accessibility-api
development,@testing-library/react,16.3.2,MIT,false,false,permissive-or-public-domain,node_modules/@testing-library/react
development,@types/aria-query,5.0.4,MIT,false,false,permissive-or-public-domain,node_modules/@types/aria-query
development,@types/babel__core,7.20.5,MIT,false,false,permissive-or-public-domain,node_modules/@types/babel__core
development,@types/babel__generator,7.27.0,MIT,false,false,permissive-or-public-domain,node_modules/@types/babel__generator
development,@types/babel__template,7.4.4,MIT,false,false,permissive-or-public-domain,node_modules/@types/babel__template
development,@types/babel__traverse,7.28.0,MIT,false,false,permissive-or-public-domain,node_modules/@types/babel__traverse
development,@types/better-sqlite3,7.6.13,MIT,false,false,permissive-or-public-domain,node_modules/@types/better-sqlite3
development,@types/cacheable-request,6.0.3,MIT,false,false,permissive-or-public-domain,node_modules/@types/cacheable-request
development,@types/chai,5.2.3,MIT,false,false,permissive-or-public-domain,node_modules/@types/chai
development,@types/deep-eql,4.0.2,MIT,false,false,permissive-or-public-domain,node_modules/@types/deep-eql
development,@types/esrecurse,4.3.1,MIT,false,false,permissive-or-public-domain,node_modules/@types/esrecurse
development,@types/fs-extra,9.0.13,MIT,false,false,permissive-or-public-domain,node_modules/@types/fs-extra
development,@types/http-cache-semantics,4.2.0,MIT,false,false,permissive-or-public-domain,node_modules/@types/http-cache-semantics
development,@types/json-schema,7.0.15,MIT,false,false,permissive-or-public-domain,node_modules/@types/json-schema
development,@types/keyv,3.1.4,MIT,false,false,permissive-or-public-domain,node_modules/@types/keyv
development,@types/node,25.3.3,MIT,false,false,permissive-or-public-domain,node_modules/@types/node
development,@types/plist,3.0.5,MIT,true,false,permissive-or-public-domain,node_modules/@types/plist
development,@types/react-dom,19.2.3,MIT,false,false,permissive-or-public-domain,node_modules/@types/react-dom
development,@types/responselike,1.0.3,MIT,false,false,permissive-or-public-domain,node_modules/@types/responselike
development,@types/verror,1.10.11,MIT,true,false,permissive-or-public-domain,node_modules/@types/verror
development,@typescript-eslint/eslint-plugin,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/eslint-plugin
development,@typescript-eslint/eslint-plugin/node_modules/ignore,7.0.5,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/eslint-plugin/node_modules/ignore
development,@typescript-eslint/parser,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/parser
development,@typescript-eslint/project-service,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/project-service
development,@typescript-eslint/scope-manager,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/scope-manager
development,@typescript-eslint/tsconfig-utils,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/tsconfig-utils
development,@typescript-eslint/type-utils,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/type-utils
development,@typescript-eslint/types,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/types
development,@typescript-eslint/typescript-estree,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/typescript-estree
development,@typescript-eslint/typescript-estree/node_modules/semver,7.7.4,ISC,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/typescript-estree/node_modules/semver
development,@typescript-eslint/utils,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/utils
development,@typescript-eslint/visitor-keys,8.56.1,MIT,false,false,permissive-or-public-domain,node_modules/@typescript-eslint/visitor-keys
development,@vitejs/plugin-react,5.1.4,MIT,false,false,permissive-or-public-domain,node_modules/@vitejs/plugin-react
development,@vitest/expect,4.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@vitest/expect
development,@vitest/mocker,4.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@vitest/mocker
development,@vitest/pretty-format,4.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@vitest/pretty-format
development,@vitest/runner,4.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@vitest/runner
development,@vitest/snapshot,4.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@vitest/snapshot
development,@vitest/spy,4.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@vitest/spy
development,@vitest/utils,4.1.0,MIT,false,false,permissive-or-public-domain,node_modules/@vitest/utils
development,@xmldom/xmldom,0.8.13,MIT,false,false,permissive-or-public-domain,node_modules/@xmldom/xmldom
